PM25,date,alt,atm,PM1,temp,PM10,humid
52,2017-07-06T09:30:03.220Z,85.13,1003.06,27,28.88,56,71.04
55,2017-07-06T09:45:03.008Z,86.34,1002.95,27,25.67,63,82.95
37,2017-07-06T10:00:03.834Z,86.31,1002.92,21,25.97,41,82.01
37,2017-07-06T10:15:03.260Z,84.44,1003.15,21,25.72,41,83.74
50,2017-07-06T10:30:02.806Z,83.31,1003.3,24,27.47,58,76.68
50,2017-07-06T10:45:03.531Z,80.92,1003.59,24,26.52,58,80.88
72,2017-07-06T11:00:13.377Z,78.61,1003.87,32,26.69,79,80.9
72,2017-07-06T11:15:03.460Z,78.54,1003.87,32,28.7,79,73.2
72,2017-07-06T11:30:03.037Z,77.59,1003.95,32,27.36,79,79.41
250,2017-07-06T11:45:02.934Z,77.47,1004,124,29.04,281,73.04
150,2017-07-06T12:00:04.178Z,75.46,1004.2,76,29.05,168,71.48
150,2017-07-06T12:15:03.251Z,76.98,1004.03,76,28.29,168,76.11
150,2017-07-06T12:30:02.945Z,76.68,1004.05,76,28.39,168,75.13
150,2017-07-06T12:45:03.704Z,77.99,1003.9,76,27.8,168,75.87
150,2017-07-06T13:00:13.642Z,79.03,1003.79,76,28.82,168,72.18
66,2017-07-06T13:15:03.453Z,79.4,1003.74,28,28.06,75,75.36
66,2017-07-06T13:30:03.326Z,79.75,1003.66,28,26.79,75,83.41
66,2017-07-06T13:45:03.334Z,79.62,1003.72,28,26.38,75,86.96
64,2017-07-06T14:00:02.833Z,78.96,1003.8,32,26.05,75,89.05
64,2017-07-06T14:15:03.830Z,78.57,1003.83,32,27.58,75,80.24
65,2017-07-06T14:30:03.625Z,79.78,1003.73,30,26.16,73,86.54
65,2017-07-06T14:45:03.522Z,79.83,1003.7,30,26.34,73,85.89
73,2017-07-06T15:00:03.217Z,78.22,1003.91,31,25.91,81,88.12
73,2017-07-06T15:15:03.056Z,78.06,1003.91,31,26.04,81,88.62
73,2017-07-06T15:30:03.834Z,79.43,1003.73,31,26.26,81,88.21
77,2017-07-06T15:45:03.742Z,80.3,1003.7,39,26.29,88,87.76
77,2017-07-06T16:00:03.432Z,79.16,1003.78,39,26.04,88,87.85
77,2017-07-06T16:15:03.196Z,80.1,1003.67,39,26.46,88,85.47
90,2017-07-06T16:30:04.052Z,80.97,1003.54,35,26.12,99,86.09
90,2017-07-06T16:45:02.972Z,80.72,1003.58,35,25.9,99,83.9
90,2017-07-06T17:00:03.358Z,81.36,1003.53,35,26.16,99,81.36
37,2017-07-06T17:15:03.191Z,81.42,1003.5,17,25.99,40,82.33
37,2017-07-06T17:30:03.862Z,81.71,1003.48,17,26.04,40,81.95
37,2017-07-06T17:45:03.866Z,81.44,1003.49,17,26.6,40,78.98
39,2017-07-06T18:00:03.349Z,81.33,1003.5,14,27.22,44,77.06
39,2017-07-06T18:15:03.254Z,82.54,1003.35,14,27.11,44,77.2
39,2017-07-06T18:30:02.846Z,83.6,1003.26,14,26.69,44,78.64
40,2017-07-06T18:45:03.878Z,83.38,1003.27,17,27.93,51,74.99
40,2017-07-06T19:00:03.572Z,83.7,1003.21,17,28.26,51,73.65
40,2017-07-06T19:15:03.574Z,85.42,1003.03,17,28.4,51,73.21
18,2017-07-06T19:30:03.264Z,87.58,1002.8,9,28.12,22,74.48
18,2017-07-06T19:45:03.277Z,86.36,1002.91,9,26.64,22,77.75
18,2017-07-06T20:00:03.986Z,86.18,1002.94,9,26.8,22,75.97
24,2017-07-06T20:15:03.122Z,85.82,1002.95,10,27.5,28,75.43
24,2017-07-06T20:30:03.894Z,85.69,1003,10,27.47,28,74.85
24,2017-07-06T20:45:14.133Z,84.71,1003.1,10,26.83,28,75.39
26,2017-07-06T21:00:03.694Z,84.58,1003.14,11,27.34,29,73.76
26,2017-07-06T21:15:03.695Z,84.88,1003.09,11,27.36,29,73.53
16,2017-07-06T21:30:03.077Z,84.72,1003.12,6,27.56,19,72.48
16,2017-07-06T21:45:03.182Z,84.36,1003.17,6,26.59,19,75.98
16,2017-07-06T22:00:13.850Z,84.7,1003.12,6,27.77,19,73.64
27,2017-07-06T22:15:03.904Z,85.83,1002.99,14,27.58,31,74.95
27,2017-07-06T22:30:03.634Z,85.67,1002.99,14,28.36,31,73.16
27,2017-07-06T22:45:03.500Z,85.29,1003.05,14,27.86,31,73.47
31,2017-07-06T23:00:03.195Z,86.65,1002.89,11,29.06,37,69.01
31,2017-07-06T23:15:03.198Z,87.58,1002.8,11,29.09,37,68.44
31,2017-07-06T23:30:03.813Z,89.4,1002.56,11,29.4,37,67.75
24,2017-07-06T23:45:03.611Z,90.21,1002.48,9,29.71,27,67.67
24,2017-07-07T00:00:03.316Z,89.32,1002.53,9,28.6,27,72.87
24,2017-07-07T00:15:03.202Z,90.01,1002.49,9,28.65,27,72.37
