"date","temp","humid","atm","alt","PM1","PM25","PM10"
"2017-07-06T09:30:03.220Z",28.88,71.04,1003.06,85.13,27,52,56
"2017-07-06T09:45:03.008Z",25.67,82.95,1002.95,86.34,27,55,63
"2017-07-06T10:00:03.834Z",25.97,82.01,1002.92,86.31,21,37,41
"2017-07-06T10:15:03.260Z",25.72,83.74,1003.15,84.44,21,37,41
"2017-07-06T10:30:02.806Z",27.47,76.68,1003.3,83.31,24,50,58
"2017-07-06T10:45:03.531Z",26.52,80.88,1003.59,80.92,24,50,58
"2017-07-06T11:00:13.377Z",26.69,80.9,1003.87,78.61,32,72,79
"2017-07-06T11:15:03.460Z",28.7,73.2,1003.87,78.54,32,72,79
"2017-07-06T11:30:03.037Z",27.36,79.41,1003.95,77.59,32,72,79
"2017-07-06T11:45:02.934Z",29.04,73.04,1004,77.47,124,250,281
"2017-07-06T12:00:04.178Z",29.05,71.48,1004.2,75.46,76,150,168
"2017-07-06T12:15:03.251Z",28.29,76.11,1004.03,76.98,76,150,168
"2017-07-06T12:30:02.945Z",28.39,75.13,1004.05,76.68,76,150,168
"2017-07-06T12:45:03.704Z",27.8,75.87,1003.9,77.99,76,150,168
"2017-07-06T13:00:13.642Z",28.82,72.18,1003.79,79.03,76,150,168
"2017-07-06T13:15:03.453Z",28.06,75.36,1003.74,79.4,28,66,75
"2017-07-06T13:30:03.326Z",26.79,83.41,1003.66,79.75,28,66,75
"2017-07-06T13:45:03.334Z",26.38,86.96,1003.72,79.62,28,66,75
"2017-07-06T14:00:02.833Z",26.05,89.05,1003.8,78.96,32,64,75
"2017-07-06T14:15:03.830Z",27.58,80.24,1003.83,78.57,32,64,75
"2017-07-06T14:30:03.625Z",26.16,86.54,1003.73,79.78,30,65,73
"2017-07-06T14:45:03.522Z",26.34,85.89,1003.7,79.83,30,65,73
"2017-07-06T15:00:03.217Z",25.91,88.12,1003.91,78.22,31,73,81
"2017-07-06T15:15:03.056Z",26.04,88.62,1003.91,78.06,31,73,81
"2017-07-06T15:30:03.834Z",26.26,88.21,1003.73,79.43,31,73,81
"2017-07-06T15:45:03.742Z",26.29,87.76,1003.7,80.3,39,77,88
"2017-07-06T16:00:03.432Z",26.04,87.85,1003.78,79.16,39,77,88
"2017-07-06T16:15:03.196Z",26.46,85.47,1003.67,80.1,39,77,88
"2017-07-06T16:30:04.052Z",26.12,86.09,1003.54,80.97,35,90,99
"2017-07-06T16:45:02.972Z",25.9,83.9,1003.58,80.72,35,90,99
"2017-07-06T17:00:03.358Z",26.16,81.36,1003.53,81.36,35,90,99
"2017-07-06T17:15:03.191Z",25.99,82.33,1003.5,81.42,17,37,40
"2017-07-06T17:30:03.862Z",26.04,81.95,1003.48,81.71,17,37,40
"2017-07-06T17:45:03.866Z",26.6,78.98,1003.49,81.44,17,37,40
"2017-07-06T18:00:03.349Z",27.22,77.06,1003.5,81.33,14,39,44
"2017-07-06T18:15:03.254Z",27.11,77.2,1003.35,82.54,14,39,44
"2017-07-06T18:30:02.846Z",26.69,78.64,1003.26,83.6,14,39,44
"2017-07-06T18:45:03.878Z",27.93,74.99,1003.27,83.38,17,40,51
"2017-07-06T19:00:03.572Z",28.26,73.65,1003.21,83.7,17,40,51
"2017-07-06T19:15:03.574Z",28.4,73.21,1003.03,85.42,17,40,51
"2017-07-06T19:30:03.264Z",28.12,74.48,1002.8,87.58,9,18,22
"2017-07-06T19:45:03.277Z",26.64,77.75,1002.91,86.36,9,18,22
"2017-07-06T20:00:03.986Z",26.8,75.97,1002.94,86.18,9,18,22
"2017-07-06T20:15:03.122Z",27.5,75.43,1002.95,85.82,10,24,28
"2017-07-06T20:30:03.894Z",27.47,74.85,1003,85.69,10,24,28
"2017-07-06T20:45:14.133Z",26.83,75.39,1003.1,84.71,10,24,28
"2017-07-06T21:00:03.694Z",27.34,73.76,1003.14,84.58,11,26,29
"2017-07-06T21:15:03.695Z",27.36,73.53,1003.09,84.88,11,26,29
"2017-07-06T21:30:03.077Z",27.56,72.48,1003.12,84.72,6,16,19
"2017-07-06T21:45:03.182Z",26.59,75.98,1003.17,84.36,6,16,19
"2017-07-06T22:00:13.850Z",27.77,73.64,1003.12,84.7,6,16,19
"2017-07-06T22:15:03.904Z",27.58,74.95,1002.99,85.83,14,27,31
"2017-07-06T22:30:03.634Z",28.36,73.16,1002.99,85.67,14,27,31
"2017-07-06T22:45:03.500Z",27.86,73.47,1003.05,85.29,14,27,31
"2017-07-06T23:00:03.195Z",29.06,69.01,1002.89,86.65,11,31,37
"2017-07-06T23:15:03.198Z",29.09,68.44,1002.8,87.58,11,31,37
"2017-07-06T23:30:03.813Z",29.4,67.75,1002.56,89.4,11,31,37
"2017-07-06T23:45:03.611Z",29.71,67.67,1002.48,90.21,9,24,27
"2017-07-07T00:00:03.316Z",28.6,72.87,1002.53,89.32,9,24,27
"2017-07-07T00:15:03.202Z",28.65,72.37,1002.49,90.01,9,24,27
"2017-07-07T00:30:02.901Z",28.54,72.42,1002.56,89.34,8,18,19
"2017-07-07T00:45:03.822Z",28.55,72.77,1002.56,89.35,8,18,19
"2017-07-07T01:00:03.364Z",28.92,72,1002.54,89.57,8,18,19
"2017-07-07T01:15:03.332Z",28.71,72.85,1002.56,89.35,7,18,21
"2017-07-07T01:30:03.016Z",28.37,75.43,1002.67,88.55,7,18,21
"2017-07-07T01:45:03.019Z",27.92,77.84,1002.77,87.59,7,18,21
"2017-07-07T02:00:03.483Z",27.8,80.3,1002.75,87.81,8,17,23
"2017-07-07T02:15:03.428Z",27.67,80.73,1002.69,88.26,8,17,23
"2017-07-07T02:30:03.121Z",27.49,85.13,1002.61,89,8,17,23
"2017-07-07T02:45:03.020Z",27.91,82.58,1002.59,89.07,14,32,38
"2017-07-07T03:00:03.536Z",28.52,77.51,1002.39,90.84,14,32,38
"2017-07-07T03:15:03.331Z",28.62,77.48,1002.41,90.71,14,32,38
"2017-07-07T03:30:03.134Z",28.87,77.46,1002.41,90.65,18,37,41
"2017-07-07T03:45:03.029Z",29.82,73.99,1002.3,91.44,18,37,41
"2017-07-07T04:00:03.546Z",29.1,75.79,1002.2,92.42,18,37,41
"2017-07-07T04:15:03.391Z",29.07,75.8,1001.91,94.64,12,33,41
"2017-07-07T04:30:03.137Z",29.17,76.03,1001.73,96.23,12,33,41
"2017-07-07T04:45:03.140Z",29.52,75.21,1001.66,96.92,12,33,41
"2017-07-07T05:00:13.923Z",29.66,73.39,1001.61,97.33,13,31,35
"2017-07-07T05:15:13.900Z",29.57,73.31,1001.64,97.15,13,31,35
"2017-07-07T05:30:14.066Z",29.26,75.07,1001.73,96.5,13,31,35
"2017-07-07T05:45:03.047Z",29.35,74.15,1001.57,97.78,10,23,25
"2017-07-07T06:00:03.703Z",28.9,75.54,1001.55,97.86,10,23,25
"2017-07-07T06:15:03.666Z",29.46,73.99,1001.37,99.37,10,23,25
"2017-07-07T06:30:03.458Z",29.36,74.2,1001.25,100.17,10,26,29
"2017-07-07T06:45:03.768Z",29.23,74.69,1001.18,100.85,10,26,29
"2017-07-07T07:00:03.262Z",29.2,74.22,1001.09,101.95,10,26,29
"2017-07-07T07:15:03.386Z",29.44,73.83,1000.91,103.32,8,18,21
"2017-07-07T07:30:03.097Z",29.19,74.2,1000.76,104.49,8,18,21
"2017-07-07T07:45:02.903Z",29.2,75,1000.64,105.45,9,22,26
"2017-07-07T08:00:03.583Z",29.36,74.57,1000.52,106.62,9,22,26
"2017-07-07T08:15:03.387Z",29.13,75.13,1000.42,107.35,9,22,26
"2017-07-07T08:30:03.282Z",28.85,75.47,1000.34,108.01,11,20,25
"2017-07-07T08:45:03.181Z",29.08,75.18,1000.33,108.09,11,20,25
"2017-07-07T09:00:03.803Z",29.02,75.69,1000.25,108.79,11,20,25
"2017-07-07T09:15:03.696Z",28.68,76.53,1000.33,108.31,10,22,27
"2017-07-07T09:30:13.377Z",27.43,83.28,1000.47,107.16,9,22,25
"2017-07-07T09:45:03.418Z",27.3,84.8,1000.43,107.29,9,22,25
